Address,Historic Name of Resource,Building Type,Freestanding or Other,Style,SubStyle,Primary Style,Approximate,Range,StartDate,EndDate,"NHL
Rating",#C,#  N/C,N/C Reason,latitude,longitude,Street Number,Modifier,Street Direction,Street,Street Type,Notes
104 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1830,1830,C,1,,,38.737314,-85.379924,104,,East,3rd,Street,
105 East 3rd Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737715,-85.379768,105,,East,3rd,Street,
106 East 3rd Street,McClain House,House,,Federal,None,Federal,TRUE,FALSE,1835,1835,C,1,,,38.737294,-85.379794,106,,East,3rd,Street,"William McClain built the house at 106 E. Third Street in the 1830s. The two-story house has a three bay facade. The foundation has a limestone irregular coursed cladding, a water table, and basement windows on the front facade. The walls are brick common bond. Four limestone steps lead up to the entry, the lowest is a curtail shape. These steps are fitted with facing iron benches. The slightly inset panel door has a multi light upper transom and wood trim detailing. The six over six light windows and door have radiating brick voussoirs, lintels and stone sills. The low pitch side gable roof has parapetted gable ends with corbelling at the facade. The roof is of standing seam metal and has simple bands of wood trim at the frieze. There are double brick chimneys on the east gable side."
107 East 3rd Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1840,1840,C,2,,,38.737775,-85.379632,107,,East,3rd,Street,
108 East 3rd Street,Devenish-Fry House,House,,Federal,None,Federal,TRUE,FALSE,1837,1837,C,2,,,38.737129,-85.379635,108,,East,3rd,Street,Solomon Devenish built the rear part of the house at 108 E. Third Street between 1837 and 1839. William Fry built the front section several years later. What resulted is a Federal home with late Classic details. The two-story house is made of brick in common bond pattern. It has a parged rubble stone foundation and a stone water table. The three-bay facade has a modern panel door with a multi light upper transom and shuttered six over six light windows. All openings have a slightly pedimented flat dressed stone lintel and stone sills. The low pitch side gable roof has brick dentils and corbelling at its frieze. The walls of the side gables have parapets.
111 East 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1870,1870,C,1,,,38.737652,-85.379473,111,,East,3rd,Street,
112 East 3rd Street,,Commercial Building,,Modern Movement,None,Modern Movement,TRUE,FALSE,1920,1920,C,1,,,38.737313,-85.379375,112,,East,3rd,Street,
113 East 3rd Street,,Church,,Classical/Greek Revival,Greek,Greek Revival,TRUE,FALSE,1868,1868,C,1,,,38.737653,-85.379325,113,,East,3rd,Street,
119 East 3rd Street,,Commercial Building,,None,None,No Style,TRUE,FALSE,1980,1980,N/C,,1,NIP,38.737662,-85.379065,119,,East,3rd,Street,
214 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.737254,-85.378011,214,,East,3rd,Street,
216 East 3rd Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737268,-85.377942,216,,East,3rd,Street,
217 East 3rd Street,German M. E. Church,Church,,Gothic Revival,None,Gothic Revival,FALSE,FALSE,1876,1876,C,1,,,38.737701,-85.377987,217,,East,3rd,Street,
218 East 3rd Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737260,-85.377886,218,,East,3rd,Street,
219 East 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1870,1870,C,1,,,38.737786,-85.377838,219,,East,3rd,Street,
307 East 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.737666,-85.376756,307,,East,3rd,Street,
308 East 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1840,1840,C,1,,,38.737266,-85.376704,308,,East,3rd,Street,
309 East 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.737666,-85.376756,309,,East,3rd,Street,
312 East 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.737266,-85.376704,312,,East,3rd,Street,
313 East 3rd Street,,House,,Bungalow/Craftsman/Foursquare,None,Other: American Four Square,TRUE,FALSE,1905,1905,C,1,,,38.737666,-85.376573,313,,East,3rd,Street,
314 East 3rd Street,,House,,Modern Movement,Postmodern,Other: Postmodern,TRUE,FALSE,1998,1998,N/C,,1,NIP,38.737442,-85.376689,314,,East,3rd,Street,
315 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1837,1837,C,1,,,38.737471,-85.376569,315,,East,3rd,Street,
317 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1837,1837,C,1,,,38.737666,-85.376334,317,,East,3rd,Street,
319 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1837,1837,C,1,,,38.737666,-85.376334,319,,East,3rd,Street,
321 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1837,1837,C,1,,,38.737665,-85.376257,321,,East,3rd,Street,
322 East 3rd Street,,House,,Bungalow/Craftsman/Foursquare,None,Bungalow/Craftsman,TRUE,FALSE,1900,1900,C,1,,,38.737284,-85.376160,322,,East,3rd,Street,
407 East 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.737667,-85.375392,407,,East,3rd,Street,
408 East 3rd Street,,House,Baltimore Row,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737302,-85.375499,408,,East,3rd,Street,
409 East 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.737665,-85.375311,409,,East,3rd,Street,
410 East 3rd Street,,House,Baltimore Row,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737312,-85.375296,410,,East,3rd,Street,
411 East 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1860,1860,C,1,,,38.737688,-85.375215,411,,East,3rd,Street,
412 East 3rd Street,,House,Baltimore Row,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737311,-85.375224,412,,East,3rd,Street,
413 East 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.737650,-85.375131,413,,East,3rd,Street,
414 East 3rd Street,,House,Baltimore Row,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737310,-85.375161,414,,East,3rd,Street,
415 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.737673,-85.374961,415,,East,3rd,Street,
417 East 3rd Street,,House,,Vernacular: Shotgun,Camelback Shotgun,Other: Camelback Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.737675,-85.374874,417,,East,3rd,Street,
419 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.737673,-85.374775,419,,East,3rd,Street,
423 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.737676,-85.374675,423,,East,3rd,Street,
425 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737659,-85.374591,425,,East,3rd,Street,
427 East 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737647,-85.374490,427,,East,3rd,Street,
508 East 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1870,1870,C,1,,,38.737294,-85.373884,508,,East,3rd,Street,
510 East 3rd Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1890,1890,C,1,,,38.737293,-85.373717,510,,East,3rd,Street,
514 East 3rd Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1890,1890,N/C,,1,A,38.737178,-85.373497,514,,East,3rd,Street,
516 East 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1880,1880,C,2,,,38.737177,-85.373357,516,,East,3rd,Street,
519 East 3rd Street,St. Michael's Catholic Church,Church,,Gothic Revival,None,Gothic Revival,FALSE,FALSE,1837,1837,C,1,,,38.737695,-85.373771,519,,East,3rd,Street,"Looming as a beacon to downtown Madison, St. Michael's Catholic Church sits on the rise of a dead end hill at 519 E. Third Street, also intersecting St. Michael's Street. Concrete steps and a patio connect the entry to the sidewalk on the front facade. Much like the rectory, an urban forest grows at the rear of the church. Construction of the three-story church began in 1837 as a rectangular plan with a coursed cut stone foundation and walls also clad in coursed cut stone. A stone stoop leads to the front of the Gothic Revival church. Openings exist as a large entry with a pointed arch, stained glass upper transom light and double leaf entry door. Composite colored windows have pressed metal hoods, stone sills and pointed arches.  St. Michael's Church is topped by a high pitch front gable roof. A sculpted stone archangel decorates the gable and a large cross stands atop the front gable. The five-story bell tower comes to a point at the rear with a cross finial. Vents and quoins also decorate the tower at the rear, which was built later."
519 East 3rd Street,St. Michael's Rectory,Rectory,,Classical/Greek Revival,Greek,Greek Revival,TRUE,FALSE,1850,1850,C,2,,,38.737695,-85.373771,519,,East,3rd,Street,"St. Michael's Rectory, located at 519 E. 3rd St., sits on a hill 50 feet from the street alongside a church of the same name. Facing toward and aligned with the street, the rectory is surrounded by a loose stone retaining wall and shrubbery hedge, mostly on the front of the property.  A concrete sidewalk runs from the foreground of the church, around to the rectory. An urban forest is located at the rear of the building, along with a wood shed. Built circa 1850, St. Michael's Rectory is a three-story building with a rectangular plan and parged rubble stone foundation.  The outer walls are also clad in rubble stone. A side porch with a hipped roof is present beside the rectory, with expressed rafters and wood posts. Openings are apparent in the form of a panel door with multilight upper transom and six over six windows with stone sills and shutters. The roof is pyramidal with multicolor decorative shingles, while two brick chimneys protrude from the west end. Brick corbelling and dentilling are visible at the cornice."
523 East 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1880,1880,C,1,,,38.737486,-85.373752,523,,East,3rd,Street,
524 East 3rd Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1880,1880,C,1,,,38.737288,-85.373211,524,,East,3rd,Street,
102 West 3rd Street,,House,,Victorian,Romanesque Revival,Romanesque Revival,TRUE,FALSE,1895,1895,C,1,,,38.737694,-85.380427,102,,West,3rd,Street,
104 West 3rd Street,Washington Fire Company # 2,Fire Station,,Classical/Greek Revival,Greek,Greek Revival,FALSE,FALSE,1848,1848,C,1,,,38.737726,-85.380542,104,,West,3rd,Street,
109 West 3rd Street,Washer-Newell House,House,,Federal,None,Federal,TRUE,FALSE,1842,1842,C,1,,,38.737275,-85.380924,109,,West,3rd,Street,"The many Italianate details on the home at 109 W. Third Street were later additions, as it was constructed in 1842 in the Federal style. The two-story home has a rectangular plan and walls of brick common bond. The three bay facade has a modern door with upper transom light in a decorative pedimented surround with dentils and scrolled brackets. The two over two light windows have pressed metal decorative crowns with dentils. A projecting decorative cornice surrounds the low pitch side gable roof; the facade cornice has a saw tooth band of trim at its frieze and scrolled eaves brackets. There are two brick chinmeys on the east gable side."
110 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1834,1834,C,1,,,38.737747,-85.380680,110,,West,3rd,Street,
111 West 3rd Street,John Cowden House,House,,Classical/Greek Revival,Greek,Greek Revival,TRUE,FALSE,1845,1845,C,1,,,38.737293,-85.381005,111,,West,3rd,Street,"The home at 111 W. Third Street is a wonderful example of Federal style simplicity and proportions. Built by John Cowden between 1845 and 1847, the three-bay two-story home is of brick in common bond. The simple panel door is slightly recessed and has a dual upper transom light. It and the six over six light windows have simple flat dressed stone lintels and sills. The low pitch roof is a side gable and has an unornamented projecting cornice with a plain band of trim at the frieze."
112 West 3rd Street,,House,,Victorian,Queen Anne,Queen Anne,TRUE,FALSE,1900,1900,C,1,,,38.737761,-85.380881,112,,West,3rd,Street,
113 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1835,1835,C,1,,,38.737302,-85.381071,113,,West,3rd,Street,
115 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1835,1835,C,1,,,38.737312,-85.381127,115,,West,3rd,Street,
117 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,2,,,38.737410,-85.381218,117,,West,3rd,Street,
118 West 3rd Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,FALSE,FALSE,1840,1840,C,1,,,38.737603,-85.380949,118,,West,3rd,Street,
119 West 3rd Street,Yater House,House,,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737357,-85.381350,119,,West,3rd,Street,
120 West 3rd Street,Dr. Hutchings' Office and Hospital,Doctor's Office,,Classical/Greek Revival,Greek,Greek Revival,TRUE,FALSE,1840,1840,C,1,,,38.737848,-85.381170,120,,West,3rd,Street,"Historic Madison, Inc. maintains the Greek Revival building at 120 W. Third Street as a museum, displaying the Dr. Hutchings' Office and Hospital of the late 1911 Century. The building, constructed around 1840, has a two-story two-bay brick facade. The sandstone foundation supports common bond brick walls. The panel door has a four-pane upper transom light. The windows are six over six lights, and all openings have flat dressed stone lintels and sills. The gable front roof is medium pitch, and features a wide band of frieze trim on the triangular pediment."
121 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1840,1840,C,1,,,38.737447,-85.381431,121,,West,3rd,Street,
123 West 3rd Street,Shaw-Clark House,House,,Federal,None,Federal,FALSE,FALSE,1843,1843,C,1,,,38.737469,-85.381534,123,,West,3rd,Street,"The Federal home at 123 W. Third Street was built in 1843 and later underwent Italianate changes. The three-bay facade of the two-story home shows its Federal origins its fenestration proportions and shapes. The rubble stone foundation is parged and has a stone water table and basement windows on the front facade. The west side of the building has a bi-level porch with wood rails and round columns, the front stoop has iron benches built into its rails. The front upper light carved door has an upper transom and a bracketed full surround. The two over two light double hung windows have only dressed stone sills and shutters. The low-pitched side gable roof has a projecting Italianate cornice with scrolled eaves brackets and a wide frieze band. There is a brick chimney on the west gable end."
124 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1835,1835,C,1,,,38.737860,-85.381328,124,,West,3rd,Street,
204 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1890,1890,C,1,,,38.737762,-85.381763,204,,West,3rd,Street,"The two-story Italianate home at 204 W. Third Street was originally constructed as a duplex around 1890, but the owners now use it as a single-family home. The rectangular plan sits on a foundation of coursed, rough-dressed stone. The walls are of brick, laid in an unusual stretcher bond pattern with randomly placed headers. The two paneled doors on the four bay facade have upper transom lights and are slightly recessed; all the windows and doors on the facade have flat dressed stone lintels and sills. Windows on the sides are set in brick segmental arch openings. The medium pitched hipped roof is a cross gable and has a wide cornice decorated with a saw tooth band of trim and eaves brackets"
206 West 3rd Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1870,1870,C,1,,,38.737934,-85.381771,206,,West,3rd,Street,
210 West 3rd Street,Roberts M. E. Chapel,Church,,Vernacular: Gable Front,None,Other: Gable front,FALSE,FALSE,1844,1844,C,1,,,38.737966,-85.381940,210,,West,3rd,Street,
310 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1835,1835,C,1,,,38.738255,-85.383357,310,,West,3rd,Street,
311 West 3rd Street,,House,,Colonial Revival,None,Colonial Revival,TRUE,FALSE,1925,1925,C,2,,,38.737911,-85.383635,311,,West,3rd,Street,
312 West 3rd Street,Jesse Bright House,House,,Federal,None,Federal,FALSE,FALSE,1837,1837,C,1,,,38.738401,-85.383507,312,,West,3rd,Street,"The house at 312 W. Third Street was built in 1837 as a Federal style home, and was later modified in the Italianate mode. The two-story home has a rectangular plan and a rubble stone foundation. The walls are of brick in common bond pattern. The slightly recessed dual light panel door has an upper transom light and a Palladian style hood. The six over six light windows have flat decorative bracketed hoods, dressed stone sills, and shutters. The low-pitched side gable roof has a parapet with double gable end chimneys. The projecting front cornice has a double row of dentils and a wide band of trim at the fascia. This was the home of U.S. Senator Jesse Bright."
313 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1850,1850,C,2,,,38.737783,-85.383769,313,,West,3rd,Street,
314 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1835,1835,C,1,,,38.737152,-85.376336,314,,West,3rd,Street,
315 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1845,1845,C,1,,,38.737841,-85.383915,315,,West,3rd,Street,
316 West 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1860,1860,N/C,,1,A,38.738360,-85.383725,316,,West,3rd,Street,
317 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1845,1845,C,1,,,38.737865,-85.384024,317,,West,3rd,Street,"The Italianate home at 317 W. Third Street, and its twin at 315, was constructed around 1850. The two story homes which mirror each other, are rectangular in plan and share a party wall. Their rubble stone foundations support walls of brick in common bond pattern. Each has a bi-level porch on its outward facing side. The slightly recessed entry at 317 has a segmental arch upper light carved panel door with an upper transom light. Its shuttered windows are six over six light and have flat dressed stone lintels and sills. The low pitch side gable roof has a projecting cornice with scrolled brackets."
318 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1850,1850,C,1,,,38.738423,-85.383828,318,,West,3rd,Street,
322 West 3rd Street,,House,,Modern Movement,Ranch,Modern Movement: Ranch Style,TRUE,FALSE,1960,1960,N/C,,1,NIP,38.738421,-85.383972,322,,West,3rd,Street,
324 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.738442,-85.384088,324,,West,3rd,Street,
402 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.738499,-85.384503,402,,West,3rd,Street,
404 West 3rd Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.738524,-85.384641,404,,West,3rd,Street,
405 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.738033,-85.384885,405,,West,3rd,Street,"Built around 1860, the home at 405 W. Third Street is a fine example of the Italianate style. It is a two-story home, has a rectangular plan and a three bay facade. The impressive entry has a modern carved panel door with an upper transom light. The door and the shuttered  four over four windows are in segmental arch openings with wooden decorative hoods with labels. The low-pitched side gable roof has a projecting decorative cornice with eaves brackets. The west side has a gable end brick chimney. A period cast and wrought iron fence with multiple highly detailed gates surrounds the yard."
406 West 3rd Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.738628,-85.384688,406,,West,3rd,Street,
408 West 3rd Street,Francis Costigan House,House,,Classical/Greek Revival,Greek,Greek Revival,FALSE,FALSE,1850,1850,C,1,,,38.738644,-85.384762,408,,West,3rd,Street,"Francis Costigan built his home at 408 W. Third Street in 1850 on a lot scarcely 22 feet wide. Now considered a masterpiece of design for a narrow city lot, the home displays the capabilities of the architect. The Greek Revival brick home has a two bay facade and a rectangular plan. Its foundation is brick with a sandstone facing, stone water table, and narrow basement windows on the facade. Two Corinthian columns with Egyptian influence support the entry portico. Dentils, a projecting cornice, and beadwork decorate the portico and its ceiling is notably decorative as well. The upper light pocket door has artful glass and two vertical paned upper transom lights. The windows are large six over six light windows with slightly pedimented stone lintels and shutters. The roof has a wide cornice with wooden dentils. There are dual gable end chimneys on the west side."
409 West 3rd Street,,House,,Bungalow/Craftsman/Foursquare,None,Other: American Four Square,TRUE,FALSE,1910,1910,C,1,,,38.738345,-85.384951,409,,West,3rd,Street,
410 1/2 West 3rd Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1850,1850,C,0.5,,,38.738576,-85.384938,410    ,1/2,West,3rd,Street,
410 West 3rd Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1850,1850,C,0.5,,,38.738576,-85.384938,410,,West,3rd,Street,
412 1/2 West 3rd Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1850,1850,C,0.5,,,38.738456,-85.385005,412    ,1/2,West,3rd,Street,
412 West 3rd Street,,House,Duplex,Federal,None,Federal,TRUE,FALSE,1850,1850,C,0.5,,,38.738456,-85.385005,412,,West,3rd,Street,
414 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1870,1870,C,1,,,38.738579,-85.385054,414,,West,3rd,Street,
416 West 3rd Street,,House,,Vernacular: Other,Central Passage,Other: Central Passage,TRUE,FALSE,1860,1860,C,1,,,38.738518,-85.385178,416,,West,3rd,Street,
418 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.738629,-85.385269,418,,West,3rd,Street,
507 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.738406,-85.385974,507,,West,3rd,Street,
509 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1985,1985,N/C,,1,NIP,38.738426,-85.386077,509,,West,3rd,Street,
511 West 3rd Street,,House,,Vernacular: Other,I-House,Other: I-House,TRUE,FALSE,1880,1880,C,1,,,38.738385,-85.386239,511,,West,3rd,Street,
513 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1880,1880,C,1,,,38.738329,-85.386386,513,,West,3rd,Street,
515 West 3rd Street,,House,,Bungalow/Craftsman/Foursquare,None,Other: American Four Square,TRUE,FALSE,1915,1915,C,1,,,38.738358,-85.386547,515,,West,3rd,Street,
521 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.738447,-85.386684,521,,West,3rd,Street,
525 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.738532,-85.386854,525,,West,3rd,Street,"The home at 525 W. Third Street is a large Italianate built around 1870. The common bond brick home is two story and rectangular in plan. The multi-light front door has full side and upper transom lights and is surrounded by a pressed metal segmental arch decorative surround. The two over two light windows have stone sills and similar pressed metal hoods. Side windows are set into brick segmental arch openings. The front gable, medium pitch roof has a slightly projecting cornice with decorative Italianate brackets. There is a single round window in the gable."
527 West 3rd Street,,House,,Victorian,Queen Anne,Queen Anne,TRUE,FALSE,1870,1870,C,1,,,38.738561,-85.387010,527,,West,3rd,Street,
606 West 3rd Street,,House,,Victorian,Queen Anne,Queen Anne,TRUE,FALSE,1890,1890,C,1,,,38.739086,-85.387266,606,,West,3rd,Street,
608 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1890,1890,C,1,,,38.739156,-85.387467,608,,West,3rd,Street,
610 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1830,1830,C,0.5,0.5,A,38.739034,-85.387613,610,,West,3rd,Street,
612 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1830,1830,C,0.5,0.5,A,38.738908,-85.387757,612,,West,3rd,Street,
614 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1860,1860,C,0.5,,,38.739189,-85.387775,614,,West,3rd,Street,
616 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1860,1860,C,0.5,,,38.738926,-85.387856,616,,West,3rd,Street,
618 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1860,1860,C,1,,,38.739159,-85.387939,618,,West,3rd,Street,
620 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1860,1860,C,1,,,38.739241,-85.388025,620,,West,3rd,Street,
624 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1860,1860,C,1,,,38.739228,-85.388119,624,,West,3rd,Street,
626 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1880,1880,C,1,,,38.739292,-85.388203,626,,West,3rd,Street,
628 West 3rd Street,,House,,Vernacular: Other,Gabled-ell,Other: Gabled-ell,TRUE,FALSE,1900,1900,C,1,,,38.739273,-85.388329,628,,West,3rd,Street,
630 West 3rd Street,,House,,Vernacular: Other,Hall and Parlor,Other: Hall and Parlor,TRUE,FALSE,1840,1840,C,1,,,38.739224,-85.388473,630,,West,3rd,Street,
702 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,1,,,38.739318,-85.388691,702,,West,3rd,Street,
703 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1870,1870,N/C,,1,A,38.738909,-85.389229,703,,West,3rd,Street,
704 West 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.739299,-85.388829,704,,West,3rd,Street,
705 West 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.738917,-85.389328,705,,West,3rd,Street,
706 West 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.739328,-85.388938,706,,West,3rd,Street,
708 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1890,1890,C,1,,,38.739443,-85.389031,708,,West,3rd,Street,
709 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1850,1850,C,0.333333333,,,38.738945,-85.389399,709,,West,3rd,Street,
710 West 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.739456,-85.389102,710,,West,3rd,Street,
711 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1850,1850,C,0.333333333,,,38.738963,-85.389506,711,,West,3rd,Street,
712 1/2 West 3rd Street,,House,,Vernacular: Other,Saltbox,Other: Saltbox,TRUE,FALSE,1880,1880,C,0.5,,,38.739482,-85.389239,712,1/2,West,3rd,Street,
712 West 3rd Street,,House,,Vernacular: Other,Saltbox,Other: Saltbox,TRUE,FALSE,1880,1880,C,0.5,,,38.739482,-85.389239,712,,West,3rd,Street,
713 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1850,1850,C,0.333333333,,,38.738986,-85.389611,713,,West,3rd,Street,
714 West 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.739511,-85.389372,714,,West,3rd,Street,
715 West 3rd Street,,House,,Vernacular: Other,T-plan,Other: T-plan,TRUE,FALSE,1870,1870,C,0.5,,,38.739024,-85.389772,715,,West,3rd,Street,
716 West 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.739504,-85.389439,716,,West,3rd,Street,
717 West 3rd Street,,House,,Vernacular: Other,T-plan,Other: T-plan,TRUE,FALSE,1870,1870,C,0.5,,,38.739217,-85.389544,717,,West,3rd,Street,
718 West 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.739531,-85.389505,718,,West,3rd,Street,
719 West 3rd Street,,House,,Italianate,None,Italianate,TRUE,FALSE,1870,1870,C,1,,,38.738989,-85.389925,719,,West,3rd,Street,
720 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1890,1890,N/C,,1,A,38.739567,-85.389625,720,,West,3rd,Street,
721 West 3rd Street,,House,,Vernacular: Shotgun,None,Other: Shotgun,TRUE,FALSE,1890,1890,C,1,,,38.739054,-85.390010,721,,West,3rd,Street,
722 West 3rd Street,,House,,Vernacular: Gable Front,None,Other: Gable front,TRUE,FALSE,1890,1890,N/C,,1,A,38.739587,-85.389770,722,,West,3rd,Street,
723 West 3rd Street,,House,,Classical/Greek Revival,Greek,Greek Revival,TRUE,FALSE,1850,1850,C,0.5,,,38.739042,-85.390190,723,,West,3rd,Street,
724 West 3rd Street,,House,,Federal,None,Federal,TRUE,FALSE,1850,1850,C,0.5,,,38.739579,-85.389850,724,,West,3rd,Street,
725 West 3rd Street,,House,,Classical/Greek Revival,Greek,Greek Revival,TRUE,FALSE,1850,1850,C,0.5,,,38.739031,-85.390109,725,,West,3rd,Street,
